fuel_frac,ref_mult,core_r,keff,stdv,r_mass,c_mass,p_mass,mass
   0.32262,   0.05860,  37.93392,   1.45092,   0.00069,-237216.35154,1446073.68971,815211.47073,2024068.80890
   0.29408,   0.04236,  49.51946,   1.57276,   0.00066,-562569.77313,2999769.88782,1744198.31205,4181398.42673
   0.61223,   0.05983,  42.54862,   1.82294,   0.00072,-333044.78171,3438157.82298,1153759.85365,4258872.89492
   0.52771,   0.02335,  10.72465,   0.68535,   0.00049,-6115.57473,48526.44817,16916.42016,59327.29360
   0.74751,   0.05053,  41.22402,   1.87926,   0.00083,-314521.34343,3720661.65678,1026266.61509,4432406.92845
   0.81824,   0.01617,  14.04629,   1.19404,   0.00068,-14071.09203,159461.17738,37338.87475,182728.96009
   0.83001,   0.03720,  42.95129,   1.92956,   0.00060,-374176.46491,4617729.72002,1124013.02478,5367566.27989
   0.21547,   0.10301,  49.84723,   1.44498,   0.00063,-435287.97302,2449785.29716,2052154.36887,4066651.69301
   0.53785,   0.02175,  48.82798,   1.82576,   0.00073,-580277.70404,4653632.61425,1590221.18311,5663576.09331
   0.37784,   0.04136,  37.39763,   1.51815,   0.00069,-243224.99796,1566537.74250,749464.12905,2072776.87359
   0.27858,   0.03914,  27.72849,   1.11737,   0.00069,-99961.89604,505969.00141,303853.34133,709860.44671
   0.33916,   0.12834,  32.88745,   1.39929,   0.00071,-107040.17319,979175.58470,624270.65871,1496406.07022
   0.54885,   0.01957,  10.13271,   0.66261,   0.00044,-5223.54313,42304.42749,14135.04891,51215.93327
   0.29476,   0.04600,  22.07211,   0.96235,   0.00064,-49133.54648,266097.05517,155816.13961,372779.64830
   0.91465,   0.09110,  49.39337,   2.00060,   0.00068,-451181.70113,7661692.64972,1942499.25521,9153010.20380
   0.33593,   0.08460,  20.65616,   0.99776,   0.00064,-34084.73465,240831.92017,139940.04253,346687.22805
   0.25472,   0.08928,  49.22129,   1.51519,   0.00071,-450615.43753,2651871.87900,1914168.47072,4115424.91219
   0.34462,   0.01246,  30.98423,   1.31701,   0.00074,-152849.75423,829001.55602,397108.79599,1073260.59778
   0.57910,   0.07567,  18.04145,   1.20468,   0.00065,-23690.70277,249922.15444,91313.46256,317544.91422
   0.21723,   0.06315,  41.84880,   1.31411,   0.00057,-312487.50935,1457701.06161,1106456.68526,2251670.23752
   0.54139,   0.03013,  14.29991,   0.94163,   0.00056,-14162.45582,117540.82040,40772.68338,144151.04795
   0.39883,   0.00465,  44.17001,   1.64008,   0.00069,-453786.53892,2694334.17957,1128312.63591,3368860.27656
   0.69753,   0.11995,  26.84284,   1.63884,   0.00072,-61488.08860,966640.61584,333077.34473,1238229.87197
   0.94838,   0.12344,  12.49581,   1.21449,   0.00065,-6065.68394,128177.22133,33867.25861,155978.79601
   0.66195,   0.10402,  25.07779,   1.56050,   0.00069,-55116.20964,753066.35181,261915.52427,959865.66644
   0.73937,   0.06843,  23.48783,   1.56760,   0.00068,-54002.29565,681565.63429,198081.30288,825644.64151
   0.86153,   0.11542,  45.78077,   1.96613,   0.00062,-313738.41323,5781234.44728,1635483.75784,7102979.79189
   0.47289,   0.05719,  19.76013,   1.15129,   0.00063,-33724.86216,277030.92857,114840.97177,358147.03817
   0.84405,   0.08530,  20.20346,   1.53760,   0.00071,-31783.61681,487846.26509,131153.18184,587215.83013
   0.77752,   0.01346,  30.57721,   1.74998,   0.00065,-146434.86819,1572064.36847,382610.98443,1808240.48470
   0.80166,   0.00232,  14.63990,   1.21229,   0.00066,-16640.74631,177285.49188,40844.32933,201489.07490
   0.63639,   0.01088,  34.27980,   1.72038,   0.00071,-208037.54412,1858946.94122,535672.59164,2186581.98874
   0.77269,   0.10094,  44.67786,   1.92550,   0.00063,-317014.65006,4877051.90349,1470613.54082,6030650.79425
   0.89547,   0.04019,  21.28189,   1.60043,   0.00065,-45019.30771,601261.60281,137727.30950,693969.60460
   0.57532,   0.14342,  26.39512,   1.52945,   0.00073,-49605.70902,778283.88832,333806.43921,1062484.61851
   0.55165,   0.12433,  19.22219,   1.24492,   0.00069,-21951.87292,290059.51910,123528.68677,391636.33294
   0.23757,   0.08059,  26.11118,   1.00224,   0.00061,-70188.42157,376761.27805,280031.56944,586604.42592
   0.62520,   0.04392,  26.49121,   1.55350,   0.00073,-85624.29419,844908.58687,268045.81950,1027330.11217
   0.31694,   0.00609,  41.35334,   1.47919,   0.00070,-370743.29846,1848269.52355,929264.62417,2406790.84926
   0.87425,   0.06717,  21.96776,   1.61555,   0.00066,-44425.56270,647194.07658,161576.67634,764345.19022
   0.71245,   0.08049,  35.00067,   1.79345,   0.00070,-169130.16319,2183007.94822,674302.87075,2688180.65578
   0.57409,   0.12866,  21.61480,   1.36902,   0.00074,-30322.60544,426608.58188,177357.07087,573643.04732
   0.56330,   0.00553,  44.79438,   1.80187,   0.00068,-472023.27288,3736296.72753,1179428.26127,4443701.71591
   0.64909,   0.12979,  16.09609,   1.19372,   0.00075,-12425.73282,195765.71615,73427.53944,256767.52277
   0.53535,   0.11382,  47.77908,   1.82902,   0.00064,-360115.22673,4343049.13547,1852380.29300,5835314.20174
   0.60913,   0.04724,  29.35159,   1.61114,   0.00070,-114992.09930,1123751.90531,367512.31158,1376272.11758
   0.36521,   0.12405,  25.19406,   1.22915,   0.00062,-49516.89472,466311.96257,277958.07957,694753.14742
   0.76253,   0.14639,  35.30789,   1.83411,   0.00073,-115988.69560,2379092.13821,804270.54318,3067373.98579
   0.79343,   0.04826,  49.69314,   1.96199,   0.00068,-555834.73537,6870168.08932,1787851.46297,8102184.81691
   0.76865,   0.14139,  38.13319,   1.86902,   0.00073,-151932.61629,3018388.52155,1002010.83222,3868466.73748
   0.80303,   0.11436,  42.33338,   1.91968,   0.00070,-249667.54843,4293059.57118,1290028.09431,5333420.11706
   0.90977,   0.09648,  47.55349,   1.99029,   0.00065,-391527.87803,6804128.12689,1755118.73556,8167718.98442
   0.64366,   0.08277,  13.98843,   1.04741,   0.00061,-10679.91384,127562.74381,43275.92949,160158.75946
   0.39740,   0.06266,  11.44343,   0.60194,   0.00048,-6402.57688,46718.75666,22596.90420,62913.08399
   0.87805,   0.02389,  33.26052,   1.84504,   0.00070,-182087.50627,2255041.93043,505268.27487,2578222.69904
   0.65230,   0.02677,  25.31190,   1.53987,   0.00079,-79467.40035,764549.90492,224272.34955,909354.85412
   0.62011,   0.00736,  35.39395,   1.72463,   0.00067,-231535.11605,2000937.54004,584479.76786,2353882.19186
   0.60999,   0.11903,  47.20869,   1.86948,   0.00071,-336424.63238,4681315.47524,1808092.02526,6152982.86812
   0.33174,   0.03661,  42.81329,   1.53955,   0.00070,-371379.01986,2123780.87741,1111620.67418,2864022.53174
   0.55858,   0.09455,  33.11038,   1.65334,   0.00065,-133509.54599,1498176.67301,589814.98505,1954482.11207
   0.84501,   0.08433,  32.14682,   1.82427,   0.00069,-128645.96290,1967256.54087,527149.69942,2365760.27739
   0.52691,   0.08349,  15.03473,   0.98578,   0.00056,-13214.13439,133525.07687,53821.53309,174132.47558
   0.57313,   0.11575,  48.76615,   1.86199,   0.00078,-378441.67793,4892296.10454,1978235.62978,6492090.05638
   0.30738,   0.04091,  27.93511,   1.18193,   0.00059,-101544.49816,556695.68057,312030.59040,767181.77282
   0.90082,   0.10511,  23.00703,   1.66907,   0.00064,-42299.69430,763733.23847,202749.80521,924183.34937
   0.78462,   0.04519,  45.41171,   1.93194,   0.00072,-429236.44942,5191334.82908,1354369.14625,6116467.52590
   0.40700,   0.06440,  41.50748,   1.63051,   0.00073,-303283.00667,2272479.70851,1082809.49325,3052006.19508
   0.82384,   0.03570,  28.84708,   1.74805,   0.00075,-113978.06790,1389682.99016,339286.48201,1614991.40427
   0.54348,   0.14072,  33.44197,   1.65754,   0.00076,-102997.55721,1508262.01358,674824.30736,2080088.76373
   0.25605,   0.07156,  16.70303,   0.67847,   0.00050,-19153.34305,104016.78012,71764.18359,156627.62066
   0.25906,   0.10841,  18.10136,   0.76029,   0.00053,-20216.91415,133507.15263,99492.95273,212783.19122
